id	collectionCode	basisOfRecord	occurrenceID	recordedBy	individualCount	sex	lifeStage	behavior	occurrenceStatus	occurrenceRemarks	eventID	scientificName	kingdom	phylum	class	order	taxonRank	vernacularName	nomenclaturalCode
INBO:MEETNET:EVENT:201727	meetnetten	HumanObservation	INBO:MEETNET:OCC:0678211	https://meetnetten.be	0	unknown	imago	present	absent	casual observation	INBO:MEETNET:EVENT:201727	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:201727	meetnetten	HumanObservation	INBO:MEETNET:OCC:0678212	https://meetnetten.be	0	unknown	adult	copula	absent	casual observation	INBO:MEETNET:EVENT:201727	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:255447	meetnetten	HumanObservation	INBO:MEETNET:OCC:0839142	https://meetnetten.be	0	male	adult	present	absent	target species	INBO:MEETNET:EVENT:255447	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:255447	meetnetten	HumanObservation	INBO:MEETNET:OCC:0839143	https://meetnetten.be	0	female	adult	present	absent	target species	INBO:MEETNET:EVENT:255447	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:255447	meetnetten	HumanObservation	INBO:MEETNET:OCC:0839144	https://meetnetten.be	0	unknown	adult	present	absent	target species	INBO:MEETNET:EVENT:255447	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:255447	meetnetten	HumanObservation	INBO:MEETNET:OCC:0839145	https://meetnetten.be	0	unknown	imago	present	absent	target species	INBO:MEETNET:EVENT:255447	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:255447	meetnetten	HumanObservation	INBO:MEETNET:OCC:0839146	https://meetnetten.be	0	unknown	adult	copula	absent	target species	INBO:MEETNET:EVENT:255447	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:255447	meetnetten	HumanObservation	INBO:MEETNET:OCC:0839147	https://meetnetten.be	0	female	adult	egg laying	absent	target species	INBO:MEETNET:EVENT:255447	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:255447	meetnetten	HumanObservation	INBO:MEETNET:OCC:0839148	https://meetnetten.be	0	unknown	exuviae	present	absent	target species	INBO:MEETNET:EVENT:255447	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:193947	meetnetten	HumanObservation	INBO:MEETNET:OCC:0642923	https://meetnetten.be	2	unknown	adult	copula	present	target species	INBO:MEETNET:EVENT:193947	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:193947	meetnetten	HumanObservation	INBO:MEETNET:OCC:0642924	https://meetnetten.be	0	male	adult	present	absent	target species	INBO:MEETNET:EVENT:193947	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:193947	meetnetten	HumanObservation	INBO:MEETNET:OCC:0642925	https://meetnetten.be	0	female	adult	present	absent	target species	INBO:MEETNET:EVENT:193947	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:193947	meetnetten	HumanObservation	INBO:MEETNET:OCC:0642926	https://meetnetten.be	0	unknown	adult	present	absent	target species	INBO:MEETNET:EVENT:193947	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:193947	meetnetten	HumanObservation	INBO:MEETNET:OCC:0642927	https://meetnetten.be	0	unknown	imago	present	absent	target species	INBO:MEETNET:EVENT:193947	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:193947	meetnetten	HumanObservation	INBO:MEETNET:OCC:0642928	https://meetnetten.be	0	female	adult	egg laying	absent	target species	INBO:MEETNET:EVENT:193947	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:193947	meetnetten	HumanObservation	INBO:MEETNET:OCC:0642929	https://meetnetten.be	0	unknown	exuviae	present	absent	target species	INBO:MEETNET:EVENT:193947	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:288332	meetnetten	HumanObservation	INBO:MEETNET:OCC:0930769	https://meetnetten.be	0	male	adult	present	absent	target species	INBO:MEETNET:EVENT:288332	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:288332	meetnetten	HumanObservation	INBO:MEETNET:OCC:0930770	https://meetnetten.be	0	female	adult	present	absent	target species	INBO:MEETNET:EVENT:288332	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:288332	meetnetten	HumanObservation	INBO:MEETNET:OCC:0930771	https://meetnetten.be	0	unknown	adult	present	absent	target species	INBO:MEETNET:EVENT:288332	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:288332	meetnetten	HumanObservation	INBO:MEETNET:OCC:0930772	https://meetnetten.be	0	unknown	imago	present	absent	target species	INBO:MEETNET:EVENT:288332	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:288332	meetnetten	HumanObservation	INBO:MEETNET:OCC:0930773	https://meetnetten.be	0	unknown	adult	copula	absent	target species	INBO:MEETNET:EVENT:288332	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:288332	meetnetten	HumanObservation	INBO:MEETNET:OCC:0930774	https://meetnetten.be	0	female	adult	egg laying	absent	target species	INBO:MEETNET:EVENT:288332	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:288332	meetnetten	HumanObservation	INBO:MEETNET:OCC:0930775	https://meetnetten.be	0	unknown	exuviae	present	absent	target species	INBO:MEETNET:EVENT:288332	Aeshna isoceles	Animalia	Arthropoda	Insecta	Odonata	species	Vroege glazenmaker	ICZN
INBO:MEETNET:EVENT:280724	meetnetten	HumanObservation	INBO:MEETNET:OCC:0893193	https://meetnetten.be	1	unknown	adult	present	present	target species	INBO:MEETNET:EVENT:280724	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:280724	meetnetten	HumanObservation	INBO:MEETNET:OCC:0893194	https://meetnetten.be	0	male	adult	present	absent	target species	INBO:MEETNET:EVENT:280724	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:280724	meetnetten	HumanObservation	INBO:MEETNET:OCC:0893195	https://meetnetten.be	0	female	adult	present	absent	target species	INBO:MEETNET:EVENT:280724	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:280724	meetnetten	HumanObservation	INBO:MEETNET:OCC:0893196	https://meetnetten.be	0	unknown	imago	present	absent	target species	INBO:MEETNET:EVENT:280724	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:280724	meetnetten	HumanObservation	INBO:MEETNET:OCC:0893197	https://meetnetten.be	0	unknown	adult	copula	absent	target species	INBO:MEETNET:EVENT:280724	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:280724	meetnetten	HumanObservation	INBO:MEETNET:OCC:0893198	https://meetnetten.be	0	female	adult	egg laying	absent	target species	INBO:MEETNET:EVENT:280724	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:280724	meetnetten	HumanObservation	INBO:MEETNET:OCC:0893199	https://meetnetten.be	0	unknown	exuviae	present	absent	target species	INBO:MEETNET:EVENT:280724	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:054461	meetnetten	HumanObservation	INBO:MEETNET:OCC:0491202	https://meetnetten.be	11	male	adult	present	present	target species	INBO:MEETNET:EVENT:054461	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:054461	meetnetten	HumanObservation	INBO:MEETNET:OCC:0491203	https://meetnetten.be	3	female	adult	present	present	target species	INBO:MEETNET:EVENT:054461	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:054461	meetnetten	HumanObservation	INBO:MEETNET:OCC:0491204	https://meetnetten.be	2	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:054461	Ischnura elegans	Animalia	Arthropoda	Insecta	Odonata	species	Lantaarntje	ICZN
INBO:MEETNET:EVENT:054461	meetnetten	HumanObservation	INBO:MEETNET:OCC:0491205	https://meetnetten.be	2	female	adult	present	present	casual observation	INBO:MEETNET:EVENT:054461	Ischnura elegans	Animalia	Arthropoda	Insecta	Odonata	species	Lantaarntje	ICZN
INBO:MEETNET:EVENT:054461	meetnetten	HumanObservation	INBO:MEETNET:OCC:0491206	https://meetnetten.be	0	unknown	adult	present	absent	target species	INBO:MEETNET:EVENT:054461	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:054461	meetnetten	HumanObservation	INBO:MEETNET:OCC:0491207	https://meetnetten.be	0	unknown	imago	present	absent	target species	INBO:MEETNET:EVENT:054461	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:054461	meetnetten	HumanObservation	INBO:MEETNET:OCC:0491208	https://meetnetten.be	0	unknown	adult	copula	absent	target species	INBO:MEETNET:EVENT:054461	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:054461	meetnetten	HumanObservation	INBO:MEETNET:OCC:0491209	https://meetnetten.be	0	female	adult	egg laying	absent	target species	INBO:MEETNET:EVENT:054461	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:054461	meetnetten	HumanObservation	INBO:MEETNET:OCC:0491210	https://meetnetten.be	0	unknown	exuviae	present	absent	target species	INBO:MEETNET:EVENT:054461	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:228729	meetnetten	HumanObservation	INBO:MEETNET:OCC:0735710	https://meetnetten.be	8	male	adult	present	present	target species	INBO:MEETNET:EVENT:228729	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:228729	meetnetten	HumanObservation	INBO:MEETNET:OCC:0735711	https://meetnetten.be	8	female	adult	present	present	target species	INBO:MEETNET:EVENT:228729	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:228729	meetnetten	HumanObservation	INBO:MEETNET:OCC:0735712	https://meetnetten.be	0	unknown	adult	present	absent	target species	INBO:MEETNET:EVENT:228729	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:228729	meetnetten	HumanObservation	INBO:MEETNET:OCC:0735713	https://meetnetten.be	0	unknown	imago	present	absent	target species	INBO:MEETNET:EVENT:228729	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:228729	meetnetten	HumanObservation	INBO:MEETNET:OCC:0735714	https://meetnetten.be	0	unknown	adult	copula	absent	target species	INBO:MEETNET:EVENT:228729	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:228729	meetnetten	HumanObservation	INBO:MEETNET:OCC:0735715	https://meetnetten.be	0	female	adult	egg laying	absent	target species	INBO:MEETNET:EVENT:228729	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
